epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.989,4.9224,5.12042,0.99979,0,0,0,0,3.77855,4.74896,0.80306,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,290.151,4.64091,4.73744,0.90119,0,0,0,0,3.5857,4.51329,0.76775,0.00062733,0.00020911,0.00062733,0.00020911,0.00062733,0.00020911,0.00062733,0.00020911
3,435.108,4.04395,4.34425,0.81191,0,0,0,0,3.59367,4.34076,0.73306,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634
4,555.505,3.87915,4.01747,0.73106,0,0,0,0,3.5069,4.20846,0.71406,0.00117507,0.00039169,0.00117507,0.00039169,0.00117507,0.00039169,0.00117507,0.00039169
5,681.576,3.76595,3.6964,0.72529,0,0,0,0,3.3178,4.10456,0.71678,0.00139548,0.00046516,0.00139548,0.00046516,0.00139548,0.00046516,0.00139548,0.00046516
6,824.575,3.77594,3.33762,0.71895,0,0,0,0,3.18507,4.05829,0.71703,0.00158025,0.00052675,0.00158025,0.00052675,0.00158025,0.00052675,0.00158025,0.00052675
7,931.14,3.62256,2.98639,0.69384,0,0,0,0,3.40045,3.99405,0.70084,0.00172938,0.00057646,0.00172938,0.00057646,0.00172938,0.00057646,0.00172938,0.00057646
8,1063.88,3.48032,2.64865,0.68524,0,0,0,0,3.32648,3.96924,0.69805,0.00184287,0.00061429,0.00184287,0.00061429,0.00184287,0.00061429,0.00184287,0.00061429
9,1175.52,3.5377,2.34039,0.69276,0,0,0,0,3.08663,3.9217,0.7047,0.00192072,0.00064024,0.00192072,0.00064024,0.00192072,0.00064024,0.00192072,0.00064024
10,1299.43,3.50377,2.35765,0.70531,0.00111,0.00321,0.00056,0.0001,3.05572,3.79272,0.70072,0.00196293,0.00065431,0.00196293,0.00065431,0.00196293,0.00065431,0.00196293,0.00065431
11,1388.13,3.2988,2.57138,0.69109,0.00222,0.00641,0.00112,0.00027,3.18382,3.80941,0.7073,0.0019695,0.0006565,0.0019695,0.0006565,0.0019695,0.0006565,0.0019695,0.0006565
12,1513.65,3.36132,2.69863,0.69127,0.00944,0.02724,0.00485,0.00167,2.9995,3.69813,0.70257,0.00194043,0.00064681,0.00194043,0.00064681,0.00194043,0.00064681,0.00194043,0.00064681
13,1601.74,3.34389,2.69706,0.69234,0.01694,0.04888,0.00889,0.00357,3.12668,3.53695,0.70117,0.00187572,0.00062524,0.00187572,0.00062524,0.00187572,0.00062524,0.00187572,0.00062524
14,1687.87,3.24133,2.32742,0.69883,0.00972,0.02804,0.005,0.00191,3.07431,3.41527,0.7003,0.00177537,0.00059179,0.00177537,0.00059179,0.00177537,0.00059179,0.00177537,0.00059179
15,1758.79,3.15889,2.2207,0.69775,0.00972,0.02804,0.005,0.00191,3.07431,3.41527,0.7003,0.00163938,0.00054646,0.00163938,0.00054646,0.00163938,0.00054646,0.00163938,0.00054646
16,1840.82,3.05407,2.10684,0.70175,0.02361,0.06811,0.01815,0.00718,3.13901,3.17231,0.69926,0.00146775,0.00048925,0.00146775,0.00048925,0.00146775,0.00048925,0.00146775,0.00048925
17,1926.91,2.99123,2.07729,0.69387,0.08361,0.24119,0.18968,0.06657,3.0658,2.88625,0.69735,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,2013.21,3.11299,2.1555,0.6887,0.12528,0.36138,0.31658,0.1049,3.15815,2.6857,0.69422,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,2089.24,3.18616,2.18256,0.68918,0.12528,0.36138,0.31658,0.1049,3.15815,2.6857,0.69422,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
20,2170.26,3.1112,2.07101,0.68867,0.16139,0.46554,0.41294,0.14139,3.02091,2.47758,0.69331,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
